,loan_data_targets_test,predicted_prob_being_good_borrower,y_hat_test
0,1,0.9242129746111383,1
1,1,0.8507839449614809,0
2,1,0.8851483105786112,0
3,1,0.9387219271448107,1
4,1,0.9685747849307773,1
5,1,0.8109403840238415,0
6,1,0.8316628020089103,0
7,1,0.7217222405424912,0
8,1,0.9598104155227835,1
9,0,0.9622604120459691,1
10,1,0.8561349462973193,0
11,1,0.8675884193181449,0
12,1,0.8204661298293177,0
13,1,0.8695362846373511,0
14,1,0.9380050395814111,1
15,1,0.912307893679726,1
16,1,0.9635758964677082,1
17,1,0.9497244122138117,1
18,1,0.9022581905403729,1
19,1,0.944051238049295,1
20,0,0.791643548480731,0
21,0,0.721462763255089,0
22,1,0.7847719160488881,0
23,1,0.9002578224963139,1
24,1,0.8621128827739124,0
25,1,0.9405814257527968,1
26,1,0.7980385343305739,0
27,1,0.9484377630871291,1
28,1,0.8625554954234141,0
29,1,0.9005287606758314,1
30,1,0.8919607321730172,0
31,0,0.7681370408001464,0
32,1,0.815407841845379,0
33,1,0.9186238821263004,1
34,1,0.9370850955337623,1
35,1,0.9758791496753099,1
36,1,0.9739664925768212,1
37,0,0.7212571574990404,0
38,1,0.9254278250384914,1
39,1,0.8866074018153377,0
40,1,0.9071004573365208,1
41,1,0.8369853773211617,0
42,1,0.9216654293380017,1
43,1,0.9191272577294741,1
44,1,0.8606194681058278,0
45,1,0.9753114159971165,1
46,1,0.8175581178818034,0
47,1,0.9360400530501027,1
48,0,0.7924346886204562,0
49,0,0.7063281964887571,0
50,1,0.8493804340832758,0
51,1,0.9294837948432221,1
52,1,0.861486619837239,0
53,0,0.8745414851252175,0
54,1,0.8579705001307131,0
55,1,0.7548180617361829,0
56,1,0.9581322292364954,1
57,1,0.9694138830600559,1
58,1,0.8795641457743613,0
59,1,0.8655849920999752,0
60,0,0.9424724368590233,1
61,0,0.7446479375652273,0
62,0,0.9261879612763014,1
63,1,0.8662260112638113,0
64,1,0.8746011685218087,0
65,1,0.9085369711473896,1
66,1,0.9094471223410338,1
67,1,0.9229176882375312,1
68,1,0.702732877033653,0
69,1,0.9682848440784159,1
70,1,0.7580013849998757,0
71,1,0.7989767665221473,0
72,1,0.9285823006149225,1
73,1,0.9056293813681007,1
74,1,0.8425767375204105,0
75,1,0.9251033533409684,1
76,1,0.7895320463817712,0
77,1,0.9291085319039475,1
78,1,0.7943961124889951,0
79,1,0.871019996479247,0
80,1,0.9752727313327426,1
81,1,0.8669047332414556,0
82,0,0.8130877564045769,0
83,1,0.9273691745648105,1
84,1,0.8909072368559134,0
85,1,0.9022748354844943,1
86,1,0.7331363761599132,0
87,1,0.920417993910258,1
88,1,0.925331529765063,1
89,1,0.9491934246543773,1
90,1,0.8582693477027031,0
91,1,0.9300498282460103,1
92,0,0.9404724844060357,1
93,1,0.8734191946657971,0
94,1,0.9866457618581082,1
95,1,0.9528530572366539,1
96,1,0.8531737644094883,0
97,1,0.9548262272752136,1
98,1,0.88238216495757,0
99,1,0.8884078986631357,0
100,1,0.9536504641845135,1
101,1,0.8526367428450479,0
102,1,0.9636848821720169,1
103,1,0.9188080151188032,1
104,1,0.8834451184154883,0
105,0,0.928420702305437,1
106,1,0.7732970839304761,0
107,1,0.6924106615572291,0
108,1,0.9385050142980341,1
109,1,0.9000124718680219,1
110,1,0.9304887937862718,1
111,1,0.9382603740912924,1
112,1,0.9221017854804794,1
113,1,0.8496022105068617,0
114,1,0.9410210469815508,1
115,1,0.7598618334311883,0
116,1,0.9672689590172143,1
117,1,0.9422734557759809,1
118,1,0.8337751126462607,0
119,1,0.8737942150086887,0
120,1,0.9094251231493291,1
121,1,0.8435072944206577,0
122,1,0.9103900539444303,1
123,1,0.8985456973101209,0
124,1,0.7988504011885657,0
125,1,0.9351201587012313,1
126,1,0.9747655846025158,1
127,0,0.7098645099467736,0
128,0,0.8530672845512487,0
129,1,0.9016596966968294,1
130,1,0.923396883384128,1
131,1,0.7090795315192292,0
132,1,0.8033584299453842,0
133,0,0.8940485456044507,0
134,1,0.9104102413972277,1
135,1,0.9804181073521696,1
136,1,0.8980873101377822,0
137,1,0.9392196661432222,1
138,1,0.8706568803656238,0
139,1,0.8792922272114694,0
140,1,0.9023761179877596,1
141,1,0.9535205778683006,1
